performance_date,channel,campaign,attribution_model,impressions,clicks,spend,conversions,revenue,users_reached,touchpoints,cpc,cac,roas
2025-06-13,Social Media,Summer Sale,Last Touch,48711,3418,202072.16,145,234030,47721,4,59.12,1393.6,1.16
2025-03-04,Social Media,App Install,First Touch,43737,2013,43923.66,361,1480822,37854,5,21.82,121.67,33.71
2025-06-05,Social Media,Festive Offer,Linear,39011,2817,120314.07,102,167382,38849,1,42.71,1179.55,1.39
2025-05-28,Google Ads,Discount Offer,First Touch,28638,1569,70416.72,189,531468,26087,1,44.88,372.58,7.55
2025-03-30,Direct Traffic,App Install,Last Touch,42574,3057,30386.58,274,1232452,41869,4,9.94,110.9,40.56
2025-06-21,Google Ads,New Product Launch,Linear,16844,361,20645.59,16,46208,8886,4,57.19,1290.35,2.24
2025-03-06,Email,Summer Sale,Last Touch,21298,779,37976.25,61,247843,21049,3,48.75,622.56,6.53
2025-02-11,Meta Ads,Lead Gen,Linear,47486,1866,53871.42,153,291312,40121,1,28.87,352.1,5.41
2025-03-27,Email,Loyalty,Linear,19914,776,18546.4,129,202530,16609,3,23.9,143.77,10.92
2025-06-09,Display Ads,Retargeting,Last Touch,18248,654,29286.12,54,243000,16296,3,44.78,542.34,8.3
2025-02-10,Meta Ads,Summer Sale,First Touch,12305,386,9321.9,40,153200,10743,3,24.15,233.05,16.43
2025-05-24,Social Media,Retargeting,Last Touch,45532,2811,51525.63,122,445178,44497,4,18.33,422.34,8.64
2025-03-09,Meta Ads,Summer Sale,Linear,28186,1234,68992.94,56,236040,27438,3,55.91,1232.02,3.42
2025-06-07,Social Media,Discount Offer,Last Touch,19734,918,9290.16,102,401268,14352,1,10.12,91.08,43.19
2025-05-07,Meta Ads,New Product Launch,First Touch,19800,919,46133.8,47,113505,13892,1,50.2,981.57,2.46
2025-06-06,Display Ads,App Install,Last Touch,41459,2200,82588.0,202,671448,39763,4,37.54,408.85,8.13
2025-06-10,Social Media,Festive Offer,Linear,22137,1381,81561.86,207,471753,18134,3,59.06,394.02,5.78
2025-04-04,Meta Ads,Summer Sale,Linear,28401,699,30790.95,54,220158,18245,5,44.05,570.2,7.15
2025-05-29,Meta Ads,Discount Offer,Linear,36177,1885,25353.25,290,618570,29502,5,13.45,87.42,24.4
2025-02-27,Display Ads,Winter Sale,Linear,8486,404,12431.08,47,68808,5646,1,30.77,264.49,5.54
2025-05-24,Display Ads,Lead Gen,Linear,8771,646,21175.88,87,127107,7288,1,32.78,243.4,6.0
2025-03-12,Social Media,Winter Sale,Linear,6807,427,14313.04,57,99522,5026,2,33.52,251.11,6.95
2025-06-19,Display Ads,Winter Sale,Linear,49215,1883,37829.47,282,924960,37948,2,20.09,134.15,24.45
2025-05-19,Direct Traffic,Loyalty,Last Touch,5444,426,4579.5,60,216360,3212,1,10.75,76.33,47.25
2025-06-07,Google Ads,Lead Gen,Last Touch,15564,995,20835.3,119,512652,9251,2,20.94,175.09,24.6
2025-01-08,Direct Traffic,App Install,Linear,12831,512,6604.8,46,187266,12029,4,12.9,143.58,28.35
2025-04-15,Display Ads,App Install,First Touch,27498,851,20577.18,48,142176,17877,4,24.18,428.69,6.91
2025-01-24,Meta Ads,Winter Sale,Last Touch,18146,609,36083.25,76,196916,16474,1,59.25,474.78,5.46
2025-05-15,Email,Brand Awareness,Linear,8991,709,7855.72,60,113400,4509,5,11.08,130.93,14.44
2025-01-04,Google Ads,Summer Sale,Last Touch,25071,543,29903.01,62,92008,15359,2,55.07,482.31,3.08
2025-06-12,Social Media,App Install,First Touch,40075,1326,34409.7,213,390429,39688,3,25.95,161.55,11.35
2025-05-27,Meta Ads,App Install,Linear,16632,838,42193.3,81,303588,8951,5,50.35,520.9,7.2
2025-01-31,Email,Winter Sale,First Touch,27875,1699,65734.31,93,149544,22090,2,38.69,706.82,2.27
2025-06-04,Meta Ads,Loyalty,Last Touch,34797,2634,96114.66,232,703888,21211,5,36.49,414.29,7.32
2025-01-17,Email,New Product Launch,Last Touch,14265,490,24749.9,28,79940,7472,3,50.51,883.93,3.23
2025-01-16,Display Ads,Loyalty,First Touch,39068,994,41797.7,165,578490,38378,5,42.05,253.32,13.84
2025-05-14,Display Ads,Lead Gen,Linear,18168,671,10091.84,96,230304,16068,4,15.04,105.12,22.82
2025-04-22,Display Ads,Discount Offer,Last Touch,6561,324,8009.28,33,92136,4532,4,24.72,242.71,11.5
2025-03-15,Direct Traffic,Brand Awareness,Linear,7728,241,3046.24,39,166257,7551,5,12.64,78.11,54.58
2025-05-19,Meta Ads,Summer Sale,Linear,8142,423,4420.35,31,61101,5511,5,10.45,142.59,13.82
2025-01-14,Direct Traffic,Festive Offer,Linear,38316,1970,34021.9,168,682584,20623,2,17.27,202.51,20.06
2025-01-26,Display Ads,Retargeting,First Touch,25991,633,11767.47,38,145274,23038,1,18.59,309.67,12.35
2025-01-12,Display Ads,New Product Launch,Linear,12623,952,7854.0,62,158348,7761,4,8.25,126.68,20.16
2025-02-28,Email,Festive Offer,First Touch,15218,433,9006.4,56,164136,13182,5,20.8,160.83,18.22
2025-06-10,Email,New Product Launch,Linear,22866,1018,8683.54,156,428064,15989,2,8.53,55.66,49.3
2025-05-05,Email,Loyalty,First Touch,46060,2835,28831.95,411,709797,44753,2,10.17,70.15,24.62
2025-01-19,Direct Traffic,Discount Offer,First Touch,15415,1142,38142.8,65,165100,9078,3,33.4,586.81,4.33
2025-06-24,Direct Traffic,Festive Offer,Last Touch,40144,1492,78315.08,103,444651,23984,4,52.49,760.34,5.68
2025-02-21,Google Ads,Lead Gen,Last Touch,18158,501,29944.77,50,82350,10904,2,59.77,598.9,2.75
2025-01-10,Display Ads,Retargeting,First Touch,9417,324,12960.0,31,55304,8329,5,40.0,418.06,4.27
2025-01-11,Direct Traffic,Lead Gen,First Touch,18790,1193,12264.04,38,69350,14987,3,10.28,322.74,5.65
2025-02-14,Email,App Install,First Touch,47214,1104,30647.04,189,618030,25692,2,27.76,162.15,20.17
2025-02-17,Direct Traffic,New Product Launch,Last Touch,48123,3044,28370.08,292,644152,43776,5,9.32,97.16,22.71
2025-03-15,Social Media,Retargeting,First Touch,40856,3180,34821.0,422,1214938,37403,5,10.95,82.51,34.89
2025-01-05,Social Media,Retargeting,Linear,26080,1101,17021.46,50,107850,13136,4,15.46,340.43,6.34
2025-01-01,Social Media,Brand Awareness,Last Touch,42155,1145,22522.15,142,498136,38954,1,19.67,158.61,22.12
2025-01-06,Direct Traffic,App Install,Linear,47256,2039,89002.35,179,763256,31415,4,43.65,497.22,8.58
2025-06-06,Email,Summer Sale,Linear,34817,1697,92876.81,166,444050,24742,2,54.73,559.5,4.78
2025-03-15,Direct Traffic,Retargeting,Last Touch,21856,1593,43234.02,52,233948,15840,2,27.14,831.42,5.41
2025-01-11,Display Ads,Festive Offer,Linear,40487,2878,170809.3,140,527240,31808,2,59.35,1220.07,3.09
2025-04-14,Display Ads,Festive Offer,Last Touch,34642,1615,45543.0,136,344760,30391,2,28.2,334.88,7.57
2025-05-16,Meta Ads,New Product Launch,First Touch,17515,947,54263.1,132,582252,14711,4,57.3,411.08,10.73
2025-05-21,Display Ads,Summer Sale,Linear,25112,823,12633.05,38,147098,19966,3,15.35,332.45,11.64
2025-06-09,Display Ads,Brand Awareness,First Touch,19232,774,42012.72,99,328581,16690,2,54.28,424.37,7.82
2025-04-24,Google Ads,New Product Launch,Last Touch,42184,2531,56213.51,359,1259013,26199,4,22.21,156.58,22.4
2025-05-28,Meta Ads,Retargeting,Last Touch,25741,1238,65787.32,61,194773,18050,5,53.14,1078.48,2.96
2025-06-06,Social Media,Brand Awareness,Linear,11361,763,9506.98,23,32568,8395,1,12.46,413.35,3.43
2025-03-22,Email,New Product Launch,Linear,14869,1152,27636.48,45,168840,10018,5,23.99,614.14,6.11
2025-04-25,Display Ads,Summer Sale,Linear,16483,616,8180.48,70,127540,10915,4,13.28,116.86,15.59
2025-01-31,Social Media,Loyalty,Last Touch,15373,825,33569.25,111,260961,13338,2,40.69,302.43,7.77
2025-01-30,Direct Traffic,Retargeting,Last Touch,11361,742,11167.1,64,176192,9586,2,15.05,174.49,15.78
2025-01-06,Social Media,Summer Sale,Last Touch,43331,2353,73554.78,77,247478,40237,3,31.26,955.26,3.36
2025-03-28,Google Ads,Summer Sale,First Touch,16615,466,11002.26,41,74292,10125,2,23.61,268.35,6.75
2025-06-12,Email,Winter Sale,Linear,10444,431,25493.65,44,164868,10057,4,59.15,579.4,6.47
2025-02-13,Email,Winter Sale,First Touch,38647,1422,49855.32,238,762790,29761,2,35.06,209.48,15.3
2025-01-14,Direct Traffic,New Product Launch,Linear,25095,898,53700.4,72,166824,24834,4,59.8,745.84,3.11
2025-06-18,Google Ads,Summer Sale,Linear,7056,196,11538.52,24,101016,5877,1,58.87,480.77,8.75
2025-03-19,Display Ads,New Product Launch,Last Touch,29904,1294,57130.1,91,248976,20451,3,44.15,627.8,4.36
2025-05-12,Display Ads,Festive Offer,Linear,27421,766,19916.0,53,105470,21718,3,26.0,375.77,5.3
2025-03-10,Google Ads,App Install,Linear,10557,721,40008.29,114,189696,5466,2,55.49,350.95,4.74
2025-01-28,Meta Ads,Discount Offer,First Touch,29470,704,26568.96,46,71622,28885,1,37.74,577.59,2.7
2025-01-03,Direct Traffic,Brand Awareness,Linear,27356,1975,79217.25,105,395220,21227,3,40.11,754.45,4.99
2025-06-20,Google Ads,Loyalty,First Touch,8680,540,9925.2,76,116432,5860,1,18.38,130.59,11.73
2025-01-24,Google Ads,Festive Offer,Linear,20274,661,29930.08,58,218138,18809,2,45.28,516.04,7.29
2025-05-02,Meta Ads,App Install,Linear,17193,827,38075.08,98,142100,15846,2,46.04,388.52,3.73
2025-05-10,Google Ads,Discount Offer,First Touch,17957,642,34456.14,74,146150,11009,1,53.67,465.62,4.24
2025-02-18,Meta Ads,Summer Sale,First Touch,15644,683,35154.01,50,144400,11972,3,51.47,703.08,4.11
2025-02-25,Display Ads,Winter Sale,Last Touch,20779,1077,45287.85,188,419240,15000,2,42.05,240.89,9.26
2025-01-17,Google Ads,Discount Offer,Last Touch,27559,2043,22759.02,292,864612,15088,4,11.14,77.94,37.99
2025-01-04,Direct Traffic,Discount Offer,Last Touch,43544,2886,160317.3,388,1427840,23930,5,55.55,413.19,8.91
2025-03-09,Direct Traffic,Summer Sale,Last Touch,28469,1837,60584.26,192,830592,22247,3,32.98,315.54,13.71
2025-05-20,Direct Traffic,New Product Launch,First Touch,43484,1314,57710.88,120,370800,32370,4,43.92,480.92,6.43
2025-04-29,Display Ads,App Install,First Touch,14311,919,25777.95,158,279818,13612,3,28.05,163.15,10.85
2025-04-08,Direct Traffic,Retargeting,Last Touch,28967,603,29637.45,77,146839,16957,5,49.15,384.9,4.95
2025-02-17,Meta Ads,Discount Offer,First Touch,30643,1481,32715.29,88,284856,21747,2,22.09,371.76,8.71
2025-03-19,Social Media,Winter Sale,First Touch,17448,858,39150.54,81,150174,16708,1,45.63,483.34,3.84
2025-04-01,Google Ads,Discount Offer,Last Touch,36241,2046,31426.56,220,709280,25211,4,15.36,142.85,22.57
2025-05-06,Google Ads,Winter Sale,Linear,15394,620,14973.0,76,281580,8695,5,24.15,197.01,18.81
2025-02-03,Social Media,Winter Sale,Last Touch,29468,2016,106706.88,172,539908,15768,1,52.93,620.39,5.06
2025-04-25,Email,Festive Offer,First Touch,18726,1435,62838.65,238,590240,17164,3,43.79,264.03,9.39
2025-05-23,Email,Loyalty,Last Touch,17738,1314,76474.8,193,683992,12619,5,58.2,396.24,8.94
2025-06-06,Meta Ads,New Product Launch,Last Touch,41916,2019,18191.19,215,342065,33545,2,9.01,84.61,18.8
2025-06-09,Email,Discount Offer,Linear,37174,1775,97305.5,305,1275205,27303,1,54.82,319.03,13.11
2025-04-26,Display Ads,New Product Launch,Last Touch,14377,601,29112.44,60,126840,12374,1,48.44,485.21,4.36
2025-03-25,Email,Loyalty,Last Touch,41823,1203,26682.54,93,231198,40728,5,22.18,286.91,8.66
2025-02-21,Direct Traffic,New Product Launch,Linear,44654,1215,56060.1,170,339660,39481,5,46.14,329.77,6.06
2025-03-14,Meta Ads,Festive Offer,Last Touch,5715,216,4021.92,16,21088,5526,4,18.62,251.37,5.24
2025-01-21,Email,App Install,First Touch,34273,1972,72707.64,234,1007604,27428,1,36.87,310.72,13.86
2025-03-12,Display Ads,Winter Sale,First Touch,44750,2112,34784.64,104,131976,26435,1,16.47,334.47,3.79
2025-03-25,Social Media,App Install,Last Touch,14289,556,25281.32,62,234050,10701,3,45.47,407.76,9.26
2025-04-12,Meta Ads,Summer Sale,Linear,7263,425,10561.25,60,81660,7248,5,24.85,176.02,7.73
2025-01-15,Direct Traffic,Retargeting,Last Touch,9186,694,10604.32,31,57939,6518,1,15.28,342.07,5.46
2025-04-03,Email,Summer Sale,First Touch,32042,1301,15117.62,117,170118,24617,4,11.62,129.21,11.25
2025-06-14,Display Ads,Retargeting,Linear,10863,748,23427.36,35,79380,7293,2,31.32,669.35,3.39
2025-01-15,Direct Traffic,Lead Gen,First Touch,8439,494,21864.44,50,68600,6013,2,44.26,437.29,3.14
2025-02-09,Meta Ads,Lead Gen,Last Touch,26164,1131,46359.69,101,332189,25624,3,40.99,459.01,7.17
2025-05-07,Google Ads,Festive Offer,Linear,9453,211,8157.26,12,43032,8752,1,38.66,679.77,5.28
2025-03-31,Direct Traffic,Discount Offer,Linear,29124,1472,75233.92,131,238813,23347,1,51.11,574.3,3.17
2025-06-10,Direct Traffic,Loyalty,Last Touch,22409,1196,41345.72,64,129600,21159,3,34.57,646.03,3.13
2025-03-27,Meta Ads,Summer Sale,Last Touch,30731,834,19048.56,28,102788,26037,5,22.84,680.31,5.4
2025-04-14,Meta Ads,Retargeting,First Touch,7730,334,4525.7,56,114352,4684,5,13.55,80.82,25.27
2025-03-18,Direct Traffic,New Product Launch,Linear,24881,1036,11219.88,128,450688,16574,2,10.83,87.66,40.17
2025-05-11,Google Ads,Winter Sale,First Touch,19183,1338,70566.12,81,335988,15957,3,52.74,871.19,4.76
2025-04-28,Display Ads,Loyalty,First Touch,37222,1816,70878.48,271,1065572,26754,1,39.03,261.54,15.03
2025-06-07,Google Ads,Brand Awareness,First Touch,45584,1048,8991.84,74,88800,32735,4,8.58,121.51,9.88
2025-04-08,Direct Traffic,Loyalty,First Touch,11372,263,5049.6,15,43995,8740,1,19.2,336.64,8.71
2025-03-13,Display Ads,Brand Awareness,Last Touch,7293,539,12779.69,37,165723,4484,1,23.71,345.4,12.97
2025-06-12,Direct Traffic,Brand Awareness,Last Touch,16441,342,4268.16,22,78628,12695,3,12.48,194.01,18.42
2025-01-06,Direct Traffic,Loyalty,Last Touch,9147,584,9326.48,23,91471,7664,1,15.97,405.5,9.81
2025-01-10,Display Ads,Festive Offer,Last Touch,32028,976,8481.44,160,622240,17046,3,8.69,53.01,73.36
2025-03-14,Direct Traffic,App Install,First Touch,22516,483,10693.62,77,166397,18597,1,22.14,138.88,15.56
2025-06-16,Google Ads,Loyalty,Last Touch,41630,3210,107214.0,207,877887,22364,3,33.4,517.94,8.19
2025-04-04,Google Ads,Loyalty,Last Touch,34901,2416,87749.12,207,563040,22224,3,36.32,423.91,6.42
2025-06-13,Email,Festive Offer,First Touch,43024,1897,61292.07,155,371535,26349,4,32.31,395.43,6.06
2025-06-22,Social Media,Festive Offer,Last Touch,33292,838,17740.46,42,112098,31934,4,21.17,422.39,6.32
2025-05-19,Direct Traffic,Retargeting,First Touch,27508,1385,73003.35,171,624492,19351,5,52.71,426.92,8.55
2025-06-11,Direct Traffic,Retargeting,Linear,14143,1112,54710.4,170,479910,7740,4,49.2,321.83,8.77
2025-01-29,Social Media,Lead Gen,First Touch,39050,1024,8407.04,174,682428,24921,2,8.21,48.32,81.17
2025-06-25,Direct Traffic,Summer Sale,Last Touch,12662,500,25750.0,42,118314,10616,4,51.5,613.1,4.59
2025-02-26,Social Media,Summer Sale,Linear,31738,1944,115415.28,124,475788,23301,2,59.37,930.77,4.12
2025-06-27,Meta Ads,Brand Awareness,Linear,12064,599,33316.38,80,196400,8013,4,55.62,416.45,5.89
2025-03-19,Meta Ads,Lead Gen,Linear,11329,873,15652.89,28,67508,6655,2,17.93,559.03,4.31
2025-02-17,Direct Traffic,Discount Offer,First Touch,21609,1018,14445.42,174,680166,17406,1,14.19,83.02,47.09
2025-06-28,Social Media,Winter Sale,Last Touch,30411,1292,30749.6,158,499122,25612,5,23.8,194.62,16.23
2025-06-01,Google Ads,App Install,First Touch,37767,1479,14213.19,199,888933,31457,5,9.61,71.42,62.54
2025-01-26,Display Ads,Loyalty,Linear,28006,2154,93935.94,385,1061060,14636,4,43.61,243.99,11.3
2025-01-23,Display Ads,Winter Sale,Linear,11032,275,12556.5,37,58645,9240,4,45.66,339.36,4.67
2025-03-28,Meta Ads,Loyalty,Last Touch,7250,285,10470.9,38,115824,4512,5,36.74,275.55,11.06
2025-04-16,Google Ads,Brand Awareness,Linear,13413,745,32116.95,25,81825,10346,1,43.11,1284.68,2.55
2025-05-09,Meta Ads,App Install,Last Touch,42031,1819,102045.9,232,324568,29311,5,56.1,439.85,3.18
2025-01-31,Direct Traffic,Lead Gen,Last Touch,16397,1215,28260.9,66,157674,13627,4,23.26,428.2,5.58
2025-01-29,Direct Traffic,Retargeting,First Touch,18049,883,18498.85,77,327173,11917,4,20.95,240.24,17.69
2025-01-12,Email,Retargeting,First Touch,27286,1962,75242.7,204,841092,20928,1,38.35,368.84,11.18
2025-01-26,Meta Ads,Retargeting,First Touch,44662,2401,73902.78,204,828648,36420,1,30.78,362.27,11.21
2025-05-15,Direct Traffic,Summer Sale,Linear,40617,1071,34946.73,76,264632,34144,1,32.63,459.83,7.57
2025-01-17,Google Ads,Winter Sale,Linear,28438,1378,47361.86,91,160433,16201,1,34.37,520.46,3.39
2025-02-11,Google Ads,Loyalty,First Touch,48557,1543,65284.33,172,598904,32896,4,42.31,379.56,9.17
2025-01-18,Direct Traffic,Retargeting,Linear,32083,864,8700.48,52,126360,18223,4,10.07,167.32,14.52
2025-01-03,Email,Brand Awareness,Linear,5797,155,6607.65,18,22248,4140,2,42.63,367.09,3.37
2025-03-23,Meta Ads,App Install,First Touch,17364,1039,34151.93,64,121984,15036,5,32.87,533.62,3.57
2025-06-12,Direct Traffic,Lead Gen,First Touch,14575,874,45981.14,45,194175,7844,4,52.61,1021.8,4.22
2025-05-12,Google Ads,Loyalty,First Touch,21191,1220,35990.0,151,320573,14895,4,29.5,238.34,8.91
2025-01-16,Display Ads,Brand Awareness,Last Touch,30862,668,28677.24,113,316400,22800,5,42.93,253.78,11.03
2025-02-27,Direct Traffic,Retargeting,Last Touch,45297,3486,120267.0,317,1361198,43466,2,34.5,379.39,11.32
2025-03-03,Social Media,Lead Gen,Last Touch,37580,2494,76067.0,86,126506,37195,1,30.5,884.5,1.66
2025-06-30,Meta Ads,Brand Awareness,Last Touch,23178,1010,32471.5,152,394896,16561,5,32.15,213.63,12.16
2025-06-04,Email,Winter Sale,Last Touch,38517,1897,89898.83,295,1066130,37614,5,47.39,304.74,11.86
2025-06-03,Direct Traffic,Loyalty,First Touch,35757,1438,63200.1,253,855646,34818,5,43.95,249.8,13.54
2025-06-11,Google Ads,Winter Sale,Linear,22577,1716,91788.84,204,435132,16417,3,53.49,449.95,4.74
2025-03-03,Social Media,New Product Launch,Last Touch,25076,790,20081.8,103,241020,16861,5,25.42,194.97,12.0
2025-04-19,Direct Traffic,New Product Launch,Linear,14127,962,42125.98,56,224504,10024,5,43.79,752.25,5.33
2025-05-22,Email,New Product Launch,Last Touch,43125,2208,31110.72,305,729865,42487,2,14.09,102.0,23.46
2025-02-22,Social Media,Summer Sale,First Touch,47433,3252,89430.0,288,1191456,32587,5,27.5,310.52,13.32
2025-04-28,Social Media,Summer Sale,First Touch,21693,1222,25820.86,213,735915,17286,1,21.13,121.22,28.5
2025-01-18,Meta Ads,Winter Sale,Last Touch,34803,2647,96959.61,405,1333665,31179,2,36.63,239.41,13.75
2025-03-10,Google Ads,Festive Offer,Linear,37083,2066,67702.82,181,305709,23119,2,32.77,374.05,4.52
2025-02-01,Email,Brand Awareness,First Touch,9605,351,12818.52,24,105840,5587,4,36.52,534.11,8.26
2025-02-22,Google Ads,Loyalty,First Touch,5645,150,8820.0,20,47280,4582,2,58.8,441.0,5.36
2025-03-01,Meta Ads,Loyalty,Linear,42395,2760,155250.0,229,496472,26168,1,56.25,677.95,3.2
2025-05-22,Social Media,Summer Sale,First Touch,16261,1111,56561.01,67,249508,8272,2,50.91,844.19,4.41
2025-01-24,Social Media,Loyalty,Last Touch,36867,1012,21049.6,92,201572,33490,5,20.8,228.8,9.58
2025-02-12,Meta Ads,New Product Launch,Last Touch,12037,243,10424.7,23,84088,9185,4,42.9,453.25,8.07
2025-02-24,Meta Ads,Discount Offer,First Touch,31773,1993,61802.93,280,776720,29822,5,31.01,220.72,12.57
2025-04-08,Google Ads,Lead Gen,Last Touch,18443,1344,45104.64,199,665854,14829,3,33.56,226.66,14.76
2025-01-06,Display Ads,Lead Gen,Linear,30421,2138,84536.52,183,746823,16477,5,39.54,461.95,8.83
2025-06-28,Direct Traffic,Festive Offer,First Touch,31476,1020,24826.8,92,204056,27451,3,24.34,269.86,8.22
2025-03-01,Display Ads,Loyalty,Last Touch,6590,403,15027.87,51,74664,5147,1,37.29,294.66,4.97
2025-04-10,Social Media,Summer Sale,Last Touch,29967,636,19518.84,61,179157,16448,4,30.69,319.98,9.18
2025-03-07,Email,New Product Launch,Last Touch,29025,2168,46633.68,116,243252,28498,5,21.51,402.01,5.22
2025-06-15,Social Media,Loyalty,Linear,17826,1261,74298.12,106,457390,12658,1,58.92,700.93,6.16
2025-02-10,Google Ads,Loyalty,Linear,41229,948,11489.76,160,488800,25497,3,12.12,71.81,42.54
2025-02-06,Display Ads,Winter Sale,First Touch,20013,891,14844.06,35,55195,10860,5,16.66,424.12,3.72
2025-06-17,Direct Traffic,Retargeting,Last Touch,40909,1972,59179.72,108,137160,26856,5,30.01,547.96,2.32
2025-01-20,Google Ads,Discount Offer,Last Touch,16713,869,42155.19,98,265678,11287,2,48.51,430.16,6.3
2025-05-17,Meta Ads,New Product Launch,First Touch,26330,1877,89814.45,200,256800,21371,5,47.85,449.07,2.86
2025-01-15,Display Ads,Retargeting,First Touch,8168,393,20443.86,26,96044,7501,3,52.02,786.3,4.7
2025-05-27,Email,App Install,First Touch,34815,1062,14560.02,71,271291,18792,1,13.71,205.07,18.63
2025-04-07,Meta Ads,Brand Awareness,Last Touch,35197,1820,60933.6,260,898040,30832,5,33.48,234.36,14.74
2025-04-30,Direct Traffic,Lead Gen,Last Touch,44683,2441,125857.96,221,492609,39494,4,51.56,569.49,3.91
2025-02-12,Social Media,App Install,First Touch,7386,239,9366.41,20,48440,4166,5,39.19,468.32,5.17
2025-04-16,Display Ads,Festive Offer,Last Touch,29485,631,21037.54,89,185298,21877,2,33.34,236.38,8.81
2025-04-26,Social Media,Retargeting,Linear,24790,1085,16709.0,179,536642,16538,4,15.4,93.35,32.12
2025-04-13,Display Ads,App Install,Last Touch,18414,880,26065.6,33,59268,10866,3,29.62,789.87,2.27
2025-04-06,Google Ads,Summer Sale,Last Touch,30333,2221,118490.35,92,221168,20978,5,53.35,1287.94,1.87
2025-05-22,Display Ads,Brand Awareness,Last Touch,9440,388,7007.28,65,122135,4810,1,18.06,107.8,17.43
2025-02-07,Direct Traffic,Lead Gen,Last Touch,8924,191,3699.67,20,25960,8134,4,19.37,184.98,7.02
2025-03-27,Social Media,App Install,Last Touch,45748,1811,49132.43,271,975058,26914,4,27.13,181.3,19.85
2025-05-05,Display Ads,Lead Gen,First Touch,48667,3248,149050.72,373,550175,29357,4,45.89,399.6,3.69
2025-03-26,Direct Traffic,App Install,Linear,46628,1679,25839.81,280,442680,43527,4,15.39,92.29,17.13
2025-03-12,Display Ads,New Product Launch,First Touch,7884,300,17277.0,17,60027,4735,4,57.59,1016.29,3.47
2025-02-08,Display Ads,Lead Gen,Linear,21721,1725,32688.75,308,575652,11473,3,18.95,106.13,17.61
2025-05-04,Google Ads,New Product Launch,Last Touch,15853,1196,40257.36,50,154100,14575,3,33.66,805.15,3.83
2025-06-07,Direct Traffic,Summer Sale,Last Touch,21913,1196,43642.04,197,835083,16372,3,36.49,221.53,19.13
2025-05-15,Meta Ads,Loyalty,Linear,49734,1827,71033.76,300,637800,25595,4,38.88,236.78,8.98
2025-05-04,Email,Summer Sale,Linear,24698,1233,56298.78,111,402153,17269,3,45.66,507.2,7.14
2025-01-28,Meta Ads,Lead Gen,First Touch,19349,1409,29490.37,233,373499,18557,5,20.93,126.57,12.67
2025-04-03,Display Ads,Festive Offer,Last Touch,42130,1679,20517.38,91,288470,23238,3,12.22,225.47,14.06
2025-01-15,Display Ads,Festive Offer,Last Touch,15095,677,39854.99,54,146718,8515,3,58.87,738.06,3.68
2025-03-02,Display Ads,App Install,Last Touch,43562,1430,43429.1,93,204228,41788,2,30.37,466.98,4.7
2025-03-28,Meta Ads,Loyalty,Last Touch,43892,1870,23019.7,79,352419,22224,2,12.31,291.39,15.31
2025-05-19,Display Ads,App Install,First Touch,47465,1381,14735.27,139,185287,28105,3,10.67,106.01,12.57
2025-04-04,Direct Traffic,Summer Sale,Linear,42486,1072,17784.48,81,130329,22519,5,16.59,219.56,7.33
2025-01-22,Google Ads,Loyalty,First Touch,17599,1185,64760.25,182,583856,10560,3,54.65,355.83,9.02
2025-06-01,Email,Loyalty,Linear,9697,677,15428.83,26,95732,6977,2,22.79,593.42,6.2
2025-06-14,Direct Traffic,Lead Gen,First Touch,37533,2116,92744.28,73,188851,24100,4,43.83,1270.47,2.04
2025-04-26,Email,Lead Gen,Last Touch,24244,1435,72266.6,133,287679,17189,3,50.36,543.36,3.98
2025-02-23,Meta Ads,App Install,First Touch,15172,336,3712.8,54,97416,8468,4,11.05,68.76,26.24
2025-02-02,Meta Ads,Discount Offer,Last Touch,26805,1642,62593.04,226,674158,20117,1,38.12,276.96,10.77
2025-06-14,Direct Traffic,Lead Gen,Linear,43513,1660,74484.2,272,1057264,22864,3,44.87,273.84,14.19
2025-02-10,Display Ads,New Product Launch,Last Touch,9329,213,11020.62,32,89440,6192,4,51.74,344.39,8.12
2025-04-29,Direct Traffic,Festive Offer,Linear,26206,1231,62067.02,174,712878,20022,3,50.42,356.71,11.49
2025-05-26,Direct Traffic,Retargeting,First Touch,15759,1217,36047.54,125,321250,9092,1,29.62,288.38,8.91
2025-02-05,Meta Ads,Lead Gen,Linear,37463,2900,160022.0,400,1164400,19990,1,55.18,400.06,7.28
2025-06-11,Email,Summer Sale,Linear,29446,1184,15912.96,172,559344,18027,2,13.44,92.52,35.15
2025-02-07,Email,Lead Gen,Last Touch,39791,1728,61326.72,204,756228,26339,4,35.49,300.62,12.33
2025-01-11,Display Ads,Loyalty,Linear,24018,1256,59408.8,46,117852,12302,4,47.3,1291.5,1.98
2025-05-31,Direct Traffic,Discount Offer,Last Touch,32344,2449,135992.97,297,637065,31295,3,55.53,457.89,4.68
2025-06-01,Meta Ads,App Install,Last Touch,24679,1813,94838.03,276,1086612,21834,3,52.31,343.62,11.46
2025-04-12,Email,Brand Awareness,Linear,20022,449,25817.5,43,121518,10047,4,57.5,600.41,4.71
2025-01-13,Google Ads,Winter Sale,Linear,40818,3118,27594.3,499,2096299,30442,5,8.85,55.3,75.97
2025-06-19,Google Ads,App Install,Linear,18986,988,36279.36,145,313345,15866,5,36.72,250.2,8.64
2025-03-26,Meta Ads,Lead Gen,Linear,18124,377,11434.41,29,63945,16924,1,30.33,394.29,5.59
2025-01-26,Meta Ads,Winter Sale,First Touch,48087,1805,38572.85,97,285762,30730,2,21.37,397.66,7.41
